,condition,shipping,size,item,day,measurement,new,inch,cm,length,question,vintage,check,number,used,payment,pit,good,ask,ship,tag,free,u,purchase,made,worn,price,like
105,2,1,1,6,1,3,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,2,0
106,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
107,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
108,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
109,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
111,3,1,0,2,2,1,1,2,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
112,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
113,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
114,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
115,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,0,1
116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
117,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
118,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
119,3,0,1,2,0,3,1,2,1,0,1,0,2,1,1,0,2,1,0,0,2,0,1,1,1,0,0,1
120,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
121,1,1,0,1,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,2,0,3,0,0,0,0
122,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
123,0,0,1,0,0,0,1,0,3,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1
124,1,0,2,0,0,2,0,3,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
125,1,1,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
126,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,1,0
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
128,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
129,2,0,1,2,2,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,1,0
130,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
131,1,3,1,3,1,0,0,0,0,1,0,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,2,0
132,2,0,2,1,0,5,0,3,0,1,0,0,1,1,0,1,2,1,0,0,3,0,0,1,1,0,0,0
133,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
134,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0
135,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
136,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
137,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
138,0,2,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
139,2,1,1,1,0,4,1,4,0,1,0,1,1,1,2,1,0,1,0,1,2,0,1,0,0,0,0,1
140,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
141,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
142,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
143,1,0,0,3,0,1,0,0,5,2,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0
144,1,0,0,2,0,1,0,0,5,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
145,1,0,0,2,0,1,0,0,5,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0
146,1,0,0,2,0,1,0,0,5,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
147,1,0,0,2,0,1,1,0,5,2,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0
148,1,0,0,2,0,1,0,0,5,2,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0
149,1,3,1,7,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,1,0,1,0,0,0,0
150,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
151,1,0,0,3,0,1,1,0,5,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
152,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1
153,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1
154,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1
155,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1
156,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1
157,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1
158,3,2,0,4,3,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,1,0
159,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0
160,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
161,1,1,1,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,1,2,0,1,0,3,0,1,2,0
162,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
164,1,1,1,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,1,0,3,0,1,2,0
165,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
166,2,0,1,3,0,1,1,2,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1
167,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0
168,2,1,1,1,2,2,0,3,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0
169,0,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,0,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
172,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0
173,0,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,1,1,1,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,1,0,3,0,1,2,0
175,1,0,0,2,0,1,0,0,5,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
176,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
177,4,2,1,3,2,1,1,0,0,0,1,0,0,1,1,2,0,2,0,0,1,0,0,0,0,1,0,1
178,1,3,1,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0,1,0,0,0,0
179,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
180,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
181,1,1,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
182,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
183,2,4,1,2,3,1,1,0,4,2,2,0,0,3,2,2,0,0,2,1,1,0,0,0,1,0,2,1
184,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,0,0,3,1,1,2,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
186,1,3,1,7,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,1,0,1,0,0,0,0
187,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
188,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
189,1,1,0,4,0,1,1,0,3,0,0,0,0,1,3,0,2,1,0,0,0,0,0,2,0,0,2,0
190,5,1,3,6,2,8,0,5,0,2,1,2,2,1,0,2,0,4,1,0,3,1,0,0,0,1,1,0
191,1,1,1,0,8,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,1,0,1,0,0,0,0
192,0,1,1,4,1,0,1,2,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,2,1,1,0,1
193,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
194,2,1,1,5,4,2,1,0,5,2,0,0,2,2,1,0,0,0,0,0,2,0,0,0,0,0,1,0
195,3,0,1,2,0,3,1,2,1,0,1,0,2,1,1,0,2,1,0,0,2,0,1,1,1,0,0,1
196,1,2,1,0,2,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,1,0,0,0,0,0
197,2,3,1,2,4,2,0,0,4,1,2,1,3,1,0,0,0,0,3,1,0,1,1,1,0,0,0,0
198,1,0,1,2,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,5,1,0,2,0
199,1,6,1,4,2,2,0,6,0,2,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
200,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
201,1,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
